# n_sub	n_ins	n_del
4577	1564	572
3921	1339	512
2893	986	382
2919	965	420
2721	922	395
2874	994	386
3410	1133	457
2576	835	333
3360	1082	371
3066	1085	396
3981	1328	499
4776	1523	611
2559	856	338
2752	970	337
2963	989	348
2503	852	314
2140	662	279
4230	1402	520
3108	1127	401
2795	947	335
3837	1280	456
1774	567	225
4819	1605	577
2559	886	325
4109	1385	519
1989	689	271
3747	1336	496
3473	1173	431
2985	1018	388
2683	903	341
2767	953	351
4112	1379	511
3128	1067	414
2851	935	325
1994	680	269
4195	1398	516
2566	851	323
2309	827	321
2696	926	358
4985	1717	652
2473	856	324
4633	1539	577
3247	1075	428
3522	1178	445
2781	1011	382
3883	1367	498
3615	1128	437
3443	1189	397
2733	959	374
2904	967	372
1991	694	247
2760	987	344
1763	627	197
3225	1096	389
2696	890	304
2950	945	380
5469	1929	741
5776	1987	711
4229	1479	548
3767	1273	459
1283	429	169
3753	1278	500
3723	1353	468
3001	1005	354
2539	889	287
3173	1033	358
4662	1542	631
3120	1071	400
2243	764	276
2077	699	252
2825	966	360
3537	1211	457
2925	1003	373
2773	965	353
3426	1115	422
3370	1177	409
3015	1031	372
5363	1760	628
2380	807	316
2922	1018	400
3882	1326	522
3217	1095	393
4721	1625	586
2963	963	393
4096	1423	567
2636	883	317
7394	2411	968
3556	1192	456
2390	730	320
2168	740	263
5740	1888	739
3380	1144	458
5216	1784	650
3326	1175	409
4210	1463	531
3880	1368	551
2697	946	344
1745	600	222
5956	1934	723
3457	1097	449
996	320	122
1921	642	222
3111	968	391
3496	1194	435
3594	1214	455
3870	1268	494
4078	1339	503
2435	838	323
3380	1100	446
3492	1190	450
2527	852	309
2585	863	312
4221	1396	491
3130	1036	361
2751	938	360
3126	1110	412
2882	927	404
4019	1427	483
4719	1553	565
2182	726	313
4548	1564	569
2790	965	358
4221	1470	553
2198	756	290
2715	951	360
2633	958	356
1996	650	244
1289	463	163
3339	1081	440
4701	1529	580
2014	675	243
1641	571	202
2231	753	275
4536	1577	535
3434	1151	429
3022	1060	357
5010	1722	643
3141	1060	391
3901	1352	532
4659	1506	571
2790	899	358
2438	818	317
2039	726	275
3097	967	395
2351	788	320
2504	841	332
1654	556	225
3840	1310	453
2085	775	264
2966	1062	385
2232	768	290
3029	1018	400
2546	829	334
3329	1119	428
2347	773	298
3603	1283	441
1984	677	264
2518	847	294
5430	1909	711
3259	1068	373
4986	1677	661
3620	1178	446
1805	618	238
2144	714	276
1694	561	202
3112	1044	350
3823	1348	495
2037	678	252
3015	1034	404
4964	1590	626
2703	889	323
2488	870	303
2712	931	360
3227	1109	407
2891	995	402
2506	851	279
3100	1033	405
3683	1285	502
3111	1048	383
1820	635	193
3136	1032	378
2179	723	307
2171	749	318
4162	1381	528
3898	1231	456
2783	946	324
3286	1134	426
1928	633	229
2342	744	304
4527	1468	564
2795	979	341
2683	883	345
4169	1396	540
2946	1045	359
2475	825	312
2514	878	320
2810	885	335
3355	1139	433
5294	1826	691
2975	1038	384
3254	1067	414
1975	676	249
3235	1064	394
3576	1208	438
4169	1424	523
2047	691	246
3276	1123	399
2702	936	352
2975	984	382
3457	1236	467
1929	665	250
2047	685	264
3609	1182	462
2688	920	336
2436	794	298
4785	1636	578
4061	1358	548
3897	1311	494
2845	1063	342
3544	1181	456
3185	1087	404
5336	1801	668
3309	1107	417
2738	957	353
2978	1055	376
1748	575	206
3896	1255	508
3987	1337	521
4292	1456	523
1806	609	204
1508	539	196
1636	553	191
4270	1384	554
3223	1072	382
1942	699	265
2984	1007	357
2608	892	339
2751	879	335
3318	1027	400
3787	1241	481
3938	1353	529
4948	1748	644
4349	1562	560
3373	1089	447
2958	1001	364
2944	1050	351
3695	1224	474
3863	1413	491
1742	646	193
2740	959	338
2510	853	299
3983	1374	484
3528	1177	439
2144	739	304
2958	1008	359
3354	1138	410
2258	743	287
225	65	32
2790	978	370
2679	897	347
2329	784	308
3211	1070	370
1396	482	179
1233	422	160
1733	607	218
3669	1258	472
4194	1465	520
3058	1069	377
2539	835	311
2058	676	277
2006	682	219
1985	698	246
3661	1238	469
4178	1495	559
4337	1534	525
2825	988	326
2171	717	257
4929	1638	606
1221	398	150
1467	501	173
3632	1221	454
1776	609	228
4786	1647	607
1952	644	274
2140	734	240
3091	1017	399
2796	977	369
1855	644	209
2540	814	311
3575	1211	452
1829	637	228
1930	653	248
2774	926	327
3064	1094	374
4314	1451	513
2229	655	253
2160	727	276
4063	1326	497
2467	777	314
2333	801	279
1944	665	240
3248	1016	400
2907	967	376
2172	704	275
3179	1089	383
2978	982	360
1236	417	143
2086	766	270
2891	997	393
4186	1415	594
3745	1242	487
2395	763	295
4403	1529	537
3225	1077	430
5116	1715	679
3503	1155	441
2584	806	314
1999	712	294
3816	1268	458
2405	820	277
3523	1145	460
2879	976	397
2383	837	299
1926	604	261
2596	890	343
4911	1677	643
4333	1436	569
4265	1527	544
4197	1407	504
910	340	114
2146	705	277
4965	1669	656
4230	1489	508
3401	1158	443
4719	1655	583
2833	977	350
4190	1432	548
3104	1038	430
2262	740	262
760	286	104
3055	1086	350
4032	1390	500
3668	1222	466
3253	1136	413
3850	1283	466
2839	933	383
4655	1507	576
2719	892	321
5267	1768	655
2737	938	323
2918	989	370
3248	1098	350
6292	2064	790
3028	1070	412
2643	965	322
4300	1448	567
2814	1008	347
2421	781	328
3744	1236	528
4076	1423	514
3464	1141	468
3315	1160	409
2150	726	252
3093	1077	387
1977	682	272
4640	1614	608
2896	961	305
3531	1175	437
4670	1529	620
2725	921	321
3027	1060	384
4752	1577	633
3337	1168	433
3027	1028	381
5154	1677	663
5631	1874	676
3474	1189	467
3386	1154	438
3385	1093	413
3036	1010	375
3909	1365	503
2956	983	362
2861	979	349
4570	1590	583
3120	1020	398
3339	1134	434
2787	925	342
3684	1254	456
2944	991	384
3242	1163	405
4197	1412	488
2721	920	366
4080	1353	555
5193	1768	671
2853	1020	369
3536	1171	485
4526	1530	565
2723	887	368
3093	1042	418
4528	1513	623
5476	1860	722
4432	1458	580
4815	1591	554
2687	921	351
2749	915	369
5446	1830	681
3418	1188	434
1174	394	143
4318	1414	562
2322	816	279
3246	1142	399
3243	1156	441
1837	664	249
2601	904	315
2902	963	357
3724	1206	469
3346	1191	462
4102	1439	520
2657	902	319
3082	980	365
3226	1051	435
4620	1560	583
2741	880	312
2312	762	313
4819	1676	644
2572	838	304
2545	838	306
3333	1100	409
4297	1400	568
2447	787	327
3246	1114	388
3301	1155	386
2641	906	344
5246	1816	673
3128	1052	358
1973	642	291
4317	1417	499
2536	816	275
2572	844	343
2598	865	336
2673	909	331
3164	1128	377
3448	1162	442
3453	1150	443
2922	1019	381
2227	793	304
3605	1206	474
4782	1633	581
3546	1177	442
2273	747	307
2481	846	316
3711	1325	460
2202	747	263
3616	1263	455
3185	1054	415
2497	800	291
3043	1059	384
3619	1241	454
2555	856	300
3824	1253	488
3705	1338	450
3673	1289	501
1778	581	226
3412	1186	433
3858	1255	454
3968	1321	495
4744	1617	638
2735	979	354
2877	991	383
4206	1466	516
5430	1815	685
3078	1021	377
4929	1640	629
2203	681	287
3811	1246	492
2887	1025	383
2313	791	297
3615	1182	410
2780	924	336
1427	482	161
3408	1153	425
2629	935	330
3893	1443	492
3058	997	413
2967	970	378
4407	1584	577
3108	1065	390
1628	516	201
3853	1307	463
2634	918	329
2698	861	351
3302	1160	422
3271	1055	446
2916	1001	392
2300	760	296
2239	770	324
2146	818	299
3807	1274	490
2680	881	375
3425	1107	418
2704	962	368
4844	1550	628
2301	766	286
2561	906	314
3086	938	346
2102	695	296
3124	1122	369
3709	1324	448
3642	1216	444
3124	1064	385
2894	1043	366
3912	1214	481
4155	1462	488
4521	1497	602
3047	1025	358
3383	1170	430
4170	1415	525
1928	610	237
3028	942	362
2680	859	331
1457	472	158
3665	1185	444
4242	1471	565
2022	741	234
4960	1703	605
3275	1151	443
3148	1093	375
4114	1417	519
2767	931	362
4117	1453	550
3004	1074	346
3513	1158	457
3659	1193	477
2302	775	312
1989	700	295
2675	875	323
2956	1051	362
3314	1081	439
5021	1692	667
3914	1278	490
2294	810	297
4646	1557	577
2851	1000	355
3815	1343	489
3008	1061	369
2453	851	360
3239	1096	437
1158	366	133
3313	1129	454
2360	761	287
4496	1473	577
3152	1078	447
5549	1897	729
3383	1153	462
4708	1651	570
2592	900	334
2144	721	251
903	294	108
1111	396	153
2268	772	310
6762	2278	834
3194	1123	417
4947	1654	687
2644	885	335
1990	655	294
3307	1115	415
3838	1307	501
3399	1134	400
3220	1098	404
4727	1556	559
2970	992	391
4141	1435	556
2678	873	360
1905	658	252
3169	1064	389
2186	775	281
1947	633	260
3337	1201	471
3366	1205	464
6527	2173	815
1176	371	139
3614	1226	459
3810	1337	479
