# n_sub	n_ins	n_del
182	1017	408
293	1619	565
199	1053	404
171	752	270
118	714	259
173	930	353
257	1244	454
206	1011	366
191	974	338
226	1155	413
231	1196	433
214	1059	366
367	1878	602
163	812	313
192	986	345
249	1316	491
215	1051	383
354	1534	610
216	984	354
286	1321	532
166	869	369
502	2669	906
228	1154	470
162	779	290
128	738	287
375	1895	744
242	1123	397
373	1771	674
191	1114	399
270	1458	562
252	1313	482
204	813	315
117	546	231
432	2046	755
204	1118	428
70	328	126
115	642	257
206	993	377
236	1252	432
227	1185	474
269	1454	505
268	1370	512
160	851	317
221	1046	424
228	1217	445
159	835	339
171	897	332
287	1437	538
204	1044	403
197	910	337
218	1014	367
204	972	380
266	1408	499
327	1657	571
141	747	322
300	1590	574
190	941	336
276	1463	556
149	717	277
191	885	344
190	880	313
120	690	248
81	457	157
214	1168	446
326	1605	579
139	624	270
112	528	208
155	823	259
316	1580	553
241	1145	469
210	982	397
331	1748	587
201	1029	390
250	1361	482
297	1603	596
196	970	365
172	830	323
127	753	226
193	991	391
160	824	342
191	822	313
116	595	222
233	1308	480
146	706	301
198	1051	373
151	769	292
184	968	394
188	797	345
218	1150	404
178	827	286
253	1221	473
134	656	237
174	790	295
379	1878	717
225	1119	394
344	1705	650
256	1219	470
128	601	230
136	720	286
119	571	219
228	1073	366
252	1339	476
136	709	255
193	1074	363
361	1698	603
178	938	328
177	856	304
174	951	337
218	1107	409
210	999	379
159	880	345
213	1050	374
251	1229	474
195	1077	413
110	585	235
216	1025	383
153	769	252
158	768	282
304	1408	528
276	1357	494
188	945	344
238	1052	433
100	632	251
158	772	300
305	1521	594
185	943	355
181	873	317
272	1531	524
195	970	385
171	843	261
152	784	325
194	985	322
219	1132	414
330	1778	664
199	973	390
239	1080	406
140	639	297
209	1088	411
249	1198	441
296	1444	539
118	669	245
239	1048	372
188	893	360
197	979	354
224	1207	454
115	687	252
151	726	267
243	1238	483
193	939	310
173	751	318
334	1585	631
291	1348	511
242	1418	557
212	1004	349
213	1233	428
215	1112	423
378	1792	677
226	1107	409
195	960	329
202	1043	391
118	588	214
253	1342	487
263	1324	520
312	1451	534
104	606	219
97	508	200
97	579	197
291	1453	532
213	1068	436
124	630	289
194	1044	373
173	847	349
201	1002	352
225	1092	429
245	1247	474
278	1426	493
346	1708	630
300	1514	562
228	1141	404
193	953	357
186	1008	375
268	1291	427
267	1352	513
105	614	217
199	896	322
168	891	292
278	1303	469
228	1170	443
127	739	289
182	1019	364
217	1188	388
149	763	267
15	82	31
197	931	365
172	889	338
144	760	263
206	1049	374
90	486	176
84	412	152
107	632	224
274	1274	463
277	1430	513
195	997	375
145	825	360
134	722	253
146	673	266
134	663	238
294	1265	456
253	1423	503
292	1503	580
184	903	357
163	739	296
301	1646	606
79	457	169
106	514	158
233	1220	450
124	606	213
339	1580	631
129	627	254
146	722	260
213	997	434
189	999	356
128	613	230
158	834	307
260	1273	417
105	619	256
111	637	248
203	914	373
196	1038	385
281	1429	523
144	722	290
134	674	258
252	1332	533
154	830	340
163	825	312
139	673	240
230	1064	396
198	963	422
130	715	258
233	1113	393
193	974	334
100	408	155
142	682	256
186	961	359
254	1458	505
287	1285	469
164	819	315
281	1476	494
243	1062	415
335	1687	645
238	1166	453
167	846	317
136	699	250
268	1257	467
169	805	293
220	1182	455
181	1034	368
137	772	317
131	684	243
208	943	310
345	1608	642
289	1455	552
280	1437	542
297	1432	547
52	345	120
139	704	255
331	1636	616
284	1362	505
255	1161	470
327	1605	612
191	922	337
289	1413	490
208	1022	349
164	742	269
52	273	104
222	1086	400
306	1353	491
231	1262	473
232	1106	453
247	1303	527
174	962	352
305	1633	630
174	896	363
375	1811	630
195	970	337
186	960	330
191	1017	391
425	2110	741
189	1031	396
