# n_sub	n_ins	n_del
3511	1126	407
3613	1268	439
2751	895	316
4052	1371	592
2024	730	259
2007	702	287
2512	806	292
1754	584	202
3532	1150	410
2221	775	310
3162	1056	443
2027	687	259
2151	719	292
3555	1290	448
2612	892	351
2109	743	272
2122	738	265
2659	894	337
3649	1223	500
2604	822	317
3353	1126	440
2650	893	331
3289	1160	403
4366	1481	516
3625	1238	465
3381	1166	432
6960	2329	960
3288	1143	395
1976	661	268
2408	880	309
3235	1104	405
1964	594	255
3645	1211	440
4644	1513	537
3382	1132	428
5487	1867	660
3605	1229	469
3881	1321	492
4580	1604	575
3260	1162	443
4920	1618	572
4238	1535	549
4567	1611	595
2277	776	275
4131	1391	529
4081	1405	518
2568	912	353
4740	1550	586
2173	771	272
3013	1079	394
2797	978	364
3446	1135	458
2015	698	230
3800	1368	501
4476	1508	536
3237	1105	366
1744	546	225
3219	1110	442
2840	985	370
1797	607	216
3112	1011	364
3856	1328	488
3479	1153	389
2725	891	348
2442	838	312
2615	841	335
2824	934	356
3776	1282	454
4699	1577	586
3790	1272	448
4070	1513	545
2530	893	312
1907	613	229
3305	1164	417
2027	662	256
3076	1045	405
4650	1493	600
2790	968	355
3913	1315	470
3100	1063	372
2821	998	372
2538	848	353
4717	1555	555
3769	1345	472
3191	1029	410
1774	604	211
3652	1291	467
2858	970	350
2727	956	358
3423	1180	403
3225	1065	370
3309	1115	412
3265	1074	423
2548	857	365
2079	737	294
4824	1698	598
2007	649	257
1054	352	141
3814	1331	457
3146	1055	436
3270	1120	415
4149	1454	518
3636	1269	525
2004	672	243
4714	1572	621
2624	888	340
1900	638	236
3238	1079	431
3626	1172	410
3018	991	407
4478	1500	588
3825	1299	525
2982	990	360
1769	611	223
3766	1347	496
4326	1502	614
4043	1282	500
3258	1137	423
3567	1221	454
4409	1504	570
2343	734	265
3178	1056	400
2089	694	262
4043	1309	506
2949	962	389
3210	1056	418
1881	647	245
5080	1750	606
3526	1210	441
5582	1816	700
3305	1093	413
2603	919	346
3718	1309	490
1850	597	213
3069	1042	393
2755	913	354
2340	766	297
2440	876	327
3093	1084	404
2118	665	300
2703	946	323
4075	1358	557
3138	1094	372
2574	867	338
3513	1160	403
3464	1152	418
4578	1592	568
2642	904	343
2004	647	229
3006	1040	368
4928	1621	612
2261	795	293
1911	653	241
3045	1074	368
2363	810	314
1414	528	166
3255	1050	436
3602	1182	451
2478	930	309
3990	1368	556
2348	779	281
2640	952	352
2362	809	338
5486	1889	731
2532	835	303
3308	1190	433
4601	1539	583
4131	1310	483
3832	1348	476
3538	1213	441
3099	1038	377
1872	681	231
3774	1261	481
2337	802	340
2397	825	334
3478	1248	474
4380	1469	528
1877	672	244
2424	842	317
2075	697	259
4314	1416	510
2939	969	379
4828	1552	620
5611	2036	693
2606	843	328
2096	674	282
1917	636	270
3309	1048	416
1879	659	236
2035	686	273
2820	969	359
2747	944	372
2274	760	299
3199	1102	422
3697	1305	486
3688	1299	516
4685	1673	598
2698	933	373
3163	1108	423
2292	790	304
4160	1417	531
3075	1014	388
3205	1098	430
2172	717	269
2841	982	372
3765	1262	472
2706	873	348
2668	897	327
3342	1136	422
2616	872	308
4626	1585	547
4144	1455	512
3404	1165	443
2314	812	263
3080	1034	377
3112	1084	389
1790	590	217
1914	635	250
4237	1370	513
2682	864	326
3617	1253	429
5540	1906	706
3076	1046	346
3685	1291	438
1802	600	214
2783	962	375
2623	842	344
2620	913	325
3320	1077	397
2468	885	324
3361	1073	424
1793	597	239
2103	736	264
2712	921	345
2193	736	270
4843	1567	570
3132	1027	391
2536	896	368
4087	1371	520
4286	1443	512
2277	788	304
1292	444	168
969	347	123
2078	704	263
2815	934	334
3101	1055	387
2673	900	342
3180	1019	395
2120	723	266
3484	1246	406
3870	1338	479
3537	1169	440
3221	1062	402
5088	1822	608
3387	1175	442
2884	993	387
2283	739	268
3131	1096	413
5389	1879	669
4370	1484	537
3322	1152	455
3839	1248	477
5219	1849	676
3212	1096	398
2339	786	267
3679	1215	431
4754	1689	588
4086	1374	483
2399	843	299
3020	1028	373
2967	978	343
2119	745	236
2472	811	297
3941	1304	473
5304	1759	699
2347	773	331
3264	1142	428
2786	972	381
3020	1035	393
3577	1227	470
2603	858	336
2016	700	264
2811	934	381
4397	1474	540
5969	2087	736
2579	767	318
3041	1031	379
2962	987	362
1948	691	254
2600	916	352
2889	925	368
3066	1020	396
2252	744	282
2261	759	292
3131	1118	392
3066	984	396
3614	1226	468
3398	1179	413
1257	393	137
2865	1019	389
2529	851	326
2921	1021	384
4040	1303	512
2986	997	365
2878	1009	316
2748	938	369
4200	1439	481
2803	952	353
3268	1094	421
2391	835	315
4718	1702	574
4908	1699	621
3645	1177	446
3637	1215	445
4265	1399	566
2029	663	273
2811	988	337
2872	945	372
3530	1146	417
3249	1084	369
2589	827	357
4320	1453	527
1626	537	191
1855	659	222
1816	665	205
2835	904	317
3417	1176	455
4065	1358	528
3096	1059	410
3292	1158	442
2830	927	374
3165	1102	380
4390	1411	576
4357	1489	552
2952	1014	383
4744	1616	613
1810	613	212
3254	1140	417
4567	1586	573
4769	1589	609
2393	816	291
1691	598	219
2986	931	354
5095	1682	670
3775	1252	465
2582	880	353
3887	1248	533
2681	912	371
2884	943	393
2207	715	263
3364	1150	431
3480	1165	421
3073	1058	400
2107	684	268
4641	1557	599
5010	1696	630
4152	1507	531
4356	1500	569
3592	1216	466
3415	1132	439
3563	1191	461
2757	919	339
2464	908	298
3205	1000	422
4565	1560	612
3444	1187	425
3809	1289	523
4481	1575	556
2447	784	317
3395	1131	402
4843	1567	630
2568	961	338
3152	1046	385
2350	762	313
3569	1236	473
2465	843	311
3179	1098	402
3340	1112	404
3021	1027	389
2042	676	246
2751	945	355
2745	890	378
2575	820	343
3539	1239	426
2664	882	355
3222	1045	391
3189	1066	411
3362	1180	433
3584	1290	428
3652	1272	425
4859	1693	636
3006	973	357
2010	662	239
3880	1310	479
4550	1568	562
3090	1093	421
2783	986	370
5113	1735	591
2918	1034	372
2879	1083	367
2116	690	255
4201	1447	525
1780	638	217
1210	388	148
3599	1213	472
4647	1574	592
3672	1219	467
2917	994	383
4612	1584	564
2268	758	319
4624	1550	569
5171	1765	664
2002	691	280
2518	848	300
2085	763	267
3978	1307	502
2981	1030	363
3689	1233	444
4593	1641	602
3171	1072	380
4558	1497	546
4035	1314	537
2952	1014	346
2893	992	374
2829	937	340
2914	1003	372
3451	1119	432
2543	947	320
3209	1095	409
3014	1047	387
4024	1331	498
4764	1615	614
2674	851	340
2772	920	361
3001	946	392
2458	866	310
2115	707	262
4128	1450	542
3245	1118	415
2892	989	331
3771	1255	487
1794	573	253
4686	1611	640
2441	828	337
4147	1354	525
2173	739	272
3729	1338	480
3461	1113	437
2958	973	380
2640	934	322
2909	968	356
4049	1403	495
3137	1050	403
2794	900	364
2006	677	283
4123	1379	511
2544	837	357
2314	749	308
2666	864	325
5145	1708	615
2519	838	319
4585	1555	530
3261	1123	404
3483	1170	437
2908	998	379
3830	1336	495
3451	1255	414
3299	1151	425
2781	967	362
2925	966	363
1992	689	247
2679	945	359
1789	623	233
3116	1071	413
2643	883	333
2926	1055	366
5516	1909	702
5712	1946	713
4298	1425	538
3860	1348	472
1299	452	163
3754	1257	487
3678	1283	445
2992	1034	387
2495	842	309
3118	1066	375
4614	1584	590
3115	1034	404
2213	729	258
2073	683	272
2806	958	356
3501	1206	417
2913	1052	378
2652	910	367
3309	1173	433
3358	1165	416
2876	984	373
5185	1840	683
2402	725	299
2939	1010	399
3929	1308	487
3247	1113	426
4699	1638	611
3028	1025	402
4116	1383	487
2650	881	361
7480	2590	936
3562	1131	445
2275	770	288
2233	799	273
5626	1897	776
3422	1214	437
5291	1779	658
3395	1113	428
4257	1379	546
3951	1332	485
2755	902	340
1666	600	232
5821	1875	742
3473	1102	411
1017	348	115
1921	655	234
3040	1028	386
3655	1194	482
3551	1219	459
3965	1281	479
4125	1316	470
2446	833	312
3322	1083	437
3502	1165	457
2608	926	327
2509	904	330
4079	1408	538
3159	1079	397
2836	945	325
3231	1066	375
2915	931	364
3815	1323	491
4729	1590	594
2201	731	266
4656	1579	593
2773	918	379
4326	1487	511
2171	775	256
2756	950	321
2680	929	375
1984	666	273
1346	427	171
3231	1172	431
4691	1563	580
2088	693	249
1562	578	201
2177	728	277
4601	1536	590
3488	1218	470
3031	991	409
4991	1764	643
3096	1008	390
4102	1332	521
4651	1573	610
2769	970	347
2457	856	331
2095	716	301
3025	1036	387
2346	880	319
2467	839	308
1801	590	209
3795	1254	481
2099	727	288
3013	1039	371
2339	738	302
3063	1032	384
2543	763	299
3373	1174	417
2422	771	303
3604	1237	478
