# n_sub	n_ins	n_del
2029	652	266
2429	850	325
5410	1914	693
3180	1065	378
5002	1724	641
3641	1162	430
1949	635	243
2152	764	273
1712	565	216
3074	1047	396
3774	1288	516
2028	698	260
3077	1003	394
5039	1680	650
2672	877	357
2441	861	304
2734	916	327
3221	1072	395
2984	981	359
2509	842	326
3176	1100	371
3719	1231	478
3071	1040	365
1844	614	239
3076	1049	385
2169	802	276
2218	745	277
4193	1389	535
3878	1245	474
2742	981	357
3280	1140	452
1858	606	218
2357	761	274
4463	1515	580
2816	966	350
2671	930	327
4136	1418	493
2945	1056	346
2377	835	305
2566	881	323
2768	970	349
3355	1198	470
5346	1840	638
2984	1076	368
3393	1125	433
1941	693	242
3206	1093	408
3581	1170	465
4183	1361	543
1943	653	270
3221	1108	426
2698	922	333
2945	1008	379
3488	1163	427
1937	652	225
2094	666	269
3613	1277	461
2666	911	339
2495	828	319
4734	1607	616
4132	1373	503
3854	1320	495
2939	952	369
3620	1197	448
3132	1083	438
5196	1752	633
3310	1109	411
2784	933	357
2971	1083	366
1812	553	244
3971	1350	479
3996	1299	481
4366	1503	495
1872	573	211
1525	512	174
1599	613	201
4155	1380	500
3102	1058	375
2036	606	243
3007	958	368
2571	927	349
2746	901	352
3240	1072	437
3860	1354	460
3990	1332	488
5112	1657	653
4401	1526	564
3305	1119	419
2968	1019	408
2933	1001	352
3742	1274	480
3923	1294	491
1817	607	192
2688	910	342
2509	839	319
3902	1356	481
3639	1193	482
2169	730	254
2983	1024	349
3354	1110	423
2185	750	263
226	70	26
2873	892	345
2693	822	326
2252	768	308
3128	1077	410
1360	499	190
1252	437	141
1738	623	231
3631	1254	476
4141	1425	538
2948	1006	417
2473	886	299
2059	728	268
2055	701	215
1958	691	254
3625	1218	497
4113	1399	537
4334	1456	557
2756	987	328
2208	729	261
4882	1634	563
1189	462	153
1461	497	197
3630	1255	471
1833	614	222
4749	1595	594
1846	680	241
2040	726	279
3086	991	392
2772	882	379
1800	601	267
2472	843	318
3531	1269	417
1768	650	242
1826	696	280
2819	954	339
3017	1020	375
4189	1437	560
2212	787	283
2143	737	271
4079	1305	446
2457	813	294
2310	734	277
2008	684	240
3284	1124	385
2909	954	361
2177	713	262
3257	1051	411
2870	925	374
1212	384	137
2082	734	265
2845	930	378
4144	1375	522
3868	1257	494
2325	770	295
4389	1535	527
3275	1165	382
5043	1670	645
3437	1185	389
2412	813	354
2020	649	279
3930	1258	458
2396	751	287
3478	1127	427
2982	926	378
2372	783	299
2001	679	280
2676	835	355
5056	1662	647
4248	1570	558
4286	1440	579
4215	1415	550
937	349	140
2173	721	257
5086	1701	625
4164	1423	478
3487	1195	453
4767	1646	581
2811	961	356
4144	1470	522
3079	1045	377
2171	765	286
778	243	89
3019	1095	368
4127	1493	507
3548	1283	475
3187	1137	434
3902	1296	471
2764	923	345
4690	1545	605
2667	881	338
5274	1783	648
2826	933	317
2809	984	345
3098	1060	393
6306	2101	787
2975	1062	395
2514	940	340
4283	1331	552
2890	929	361
2391	816	320
3663	1195	480
4092	1407	522
3421	1153	462
3330	1130	391
2167	717	278
2995	1033	395
2001	700	239
4679	1470	634
2752	948	374
3534	1235	434
4531	1566	641
2674	883	357
2957	1050	385
4878	1658	633
3295	1039	395
2998	983	383
5145	1625	626
5464	1878	677
3374	1188	439
3404	1205	434
3328	1110	426
2925	1004	383
3964	1293	518
2955	1009	350
2762	1022	359
4551	1531	606
3149	1032	354
3244	1114	400
2722	969	356
3713	1254	460
2894	1004	391
3263	1107	398
4219	1475	547
2745	950	356
4035	1407	522
5185	1710	640
2945	895	362
3483	1219	450
4520	1558	554
2801	889	374
3049	1095	378
4538	1410	605
5702	1948	755
4312	1463	597
4633	1581	597
2632	907	359
2796	914	350
5582	1829	693
3396	1131	460
1164	431	144
4303	1447	546
2309	794	335
3320	1100	406
3270	1095	419
1872	668	229
2559	901	329
2894	938	355
3682	1240	475
3377	1172	408
4182	1460	522
2570	914	331
3031	1030	366
3247	1107	397
4655	1616	585
2685	904	341
2426	766	281
4913	1663	592
2541	856	339
2459	839	302
3327	1119	417
4218	1524	524
2348	823	315
3282	1086	423
3344	1132	404
2681	914	327
5356	1793	639
3045	1065	375
1899	685	253
4149	1425	585
2456	792	305
2623	821	331
2668	840	333
2683	888	338
3107	978	386
3530	1189	427
3425	1144	440
2899	993	350
2247	831	285
3675	1246	457
4746	1646	625
3470	1218	481
2323	722	297
2456	881	294
3717	1275	478
2165	728	249
3598	1179	435
3044	1119	391
2513	834	341
3132	1031	410
3576	1140	454
2550	855	325
3863	1254	475
3828	1245	454
3729	1187	503
1809	606	255
3387	1110	449
3754	1301	482
3922	1304	544
4861	1670	564
2731	976	329
2955	956	357
4133	1439	513
5445	1830	722
3107	969	412
4984	1706	646
2134	696	251
3892	1296	498
2975	959	337
2257	773	289
3483	1181	448
2726	905	364
1385	462	175
3412	1176	443
2593	915	327
4001	1476	512
3033	1034	349
2992	1046	368
4328	1533	556
3115	1043	391
1604	574	208
3905	1320	477
2670	864	349
2697	959	302
3268	1136	429
3245	1060	406
2851	989	402
2270	842	283
2371	737	273
2210	751	255
3848	1301	475
2699	913	327
3324	1138	418
2836	990	369
4855	1682	592
2296	740	316
2465	820	321
2925	947	380
2062	737	266
3140	992	388
3631	1249	466
3595	1231	510
3113	1083	392
2928	1029	403
3846	1340	456
4281	1387	507
4603	1548	578
3026	990	412
3340	1141	412
4236	1444	507
1909	672	229
2991	1044	362
2625	953	345
1414	494	168
3575	1170	460
4321	1426	537
2112	705	281
4836	1660	625
3414	1126	440
3079	1032	364
4213	1434	524
2753	916	375
4146	1379	547
3125	1048	389
3403	1139	464
3717	1295	437
2262	778	257
2089	686	236
2622	937	349
3000	1041	373
3358	1105	448
5091	1653	621
3859	1351	503
2302	721	299
4570	1600	581
2807	960	363
3957	1340	496
3053	1049	382
2456	803	321
3294	1083	381
1178	395	129
3434	1146	411
2274	737	269
4470	1513	564
3142	1034	373
5496	1955	698
3373	1136	417
4719	1578	583
2547	853	322
2148	780	290
896	334	128
1094	399	123
2282	764	292
6734	2274	820
3151	1144	396
4955	1711	617
2607	870	332
1980	670	264
3386	1103	385
3872	1322	501
3351	1152	420
3229	1103	418
4734	1588	610
3010	1045	381
4250	1445	520
2593	834	320
1945	631	249
3155	1094	392
2180	786	300
1905	660	217
3423	1196	426
3377	1149	449
6416	2348	818
1186	412	147
3564	1168	411
3954	1339	528
